Id,Label,type,budget,zip,interestPercentage
R005249,INEOS Manufacturing Deutschland GmbH,Unternehmen,700000.0,50769.0,0.0512820512820512
R004438,Ost-Ausschuss der Deutschen Wirtschaft e.V.,Verein/Verband,690000.0,10178.0,0.0
R001179,Airbus SE,Unternehmen,690000.0,,0.0612244897959183
R000872,Zentralverband der deutschen Werbewirtschaft ZAW e.V.,Verein/Verband,690000.0,10117.0,0.1111111111111111
R000424,Deutscher Brauer-Bund e.V.,Verein/Verband,680000.0,10117.0,0.0
R003183,The Rotary Foundation,Verein/Verband,680000.0,,0.0
R001704,Volkswagen Financial Services AG,Unternehmen,680000.0,38112.0,0.1081081081081081
R000959,Neste Germany GmbH,Unternehmen,680000.0,40217.0,0.0
R002755,Deutsches Komitee für UNICEF e.V.,Verein/Verband,670000.0,50969.0,0.0
R000752,VIER PFOTEN - Stiftung für Tierschutz,Verein/Verband,670000.0,22767.0,0.0
R001349,DGRV - Deutscher Genossenschafts- und Raiffeisenverband e.V.,Verein/Verband,670000.0,10785.0,0.0833333333333333
R002359,Apple Inc.,Unternehmen,670000.0,,0.1875
R000410,PlasticsEurope Deutschland e.V. ,Verein/Verband,670000.0,60329.0,0.0416666666666666
R001590,Lausitz Energie Kraftwerke AG,Unternehmen,670000.0,3050.0,0.0303030303030303
R001537,EEW Energy from Waste GmbH,Unternehmen,670000.0,38350.0,0.0
R002438,BSW - Bundesverband Solarwirtschaft e.V.,Verein/Verband,670000.0,10829.0,0.0
R001696,bpa - Bundesverband privater Anbieter sozialer Dienste e.V.,Verein/Verband,660000.0,10117.0,0.04
R003477,"Currenta GmbH & Co. OHG, CURRENTA-Gruppe",Unternehmen,650000.0,51373.0,0.08
R000747,Bundesverband E-Commerce und Versandhandel Deutschland e.V. (bevh),Verein/Verband,650000.0,10117.0,0.1153846153846153
R002246,Verband der Auslandsbanken in Deutschland e.V.,Verein/Verband,650000.0,60311.0,0.1538461538461538
R003033,TransnetBW GmbH,Unternehmen,650000.0,70191.0,0.0769230769230769
R003378,IPG DXTRA (Germany) GmbH ,Consulting,650000.0,80335.0,0.125
R000283,Bundesvereinigung der Deutschen Ernährungsindustrie ,Verein/Verband,650000.0,10117.0,0.0
R003240,WILO SE,Unternehmen,640000.0,44263.0,0.0
R004913,International Police Association Deutsche Sektion e.V.,Verein/Verband,630000.0,66450.0,0.0
R001886,Bundesverband Deutscher Baustoff-Fachhandel (BDB) e.V.,Verein/Verband,630000.0,10117.0,0.0
R004838,Deekeling Arndt Advisors in Communications GmbH,Consulting,630000.0,10629.0,0.0263157894736842
R000083,Stiftung Familienunternehmen und Politik,Verein/Verband,630000.0,10117.0,0.037037037037037
R001296,Novartis Pharma GmbH,Unternehmen,630000.0,90429.0,0.0
R001901,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,Consulting,630000.0,70629.0,0.0
R000801,Fuchs & Cie. | Unternehmensberatung für Strategie & Kommunikation GmbH,Consulting,620000.0,10117.0,0.0673076923076923
R004579,IDEG Informationsgemeinschaft Deutsches Geflügel GmbH,Unternehmen,620000.0,10117.0,0.0
R002946,Morgan Stanley Europe SE,Unternehmen,620000.0,60312.0,0.0
R001756,"Bundesverband Großhandel, Außenhandel, Dienstleistungen e.V. (BGA)",,610000.0,10117.0,0.0606060606060606
R001863,Bundesverband eMobilität e.V. (BEM),Verein/Verband,610000.0,10999.0,0.0166666666666666
R001544,Bundesverband der Deutschen Heizungsindustrie e. V. - BDH,Verein/Verband,610000.0,51145.0,0.0444444444444444
R001500,ZF Friedrichshafen AG,Unternehmen,610000.0,88046.0,0.0930232558139534
R001539,VDP Verband Deutscher Privatschulverbände e.V.,Verein/Verband,610000.0,10117.0,0.0454545454545454
R001281,Greenpeace e.V.,Verein/Verband,610000.0,20457.0,0.0
R000989,Vereinigung der Bayerischen Wirtschaft e. V. ,Verein/Verband,610000.0,80333.0,0.0666666666666666
